Protein,Delta,DeltaSquared
HNRNPU_Aviva,-0.00851181,0.043765304
ZYX_Aviva,0.003737411,0.045348015
G6PD_Aviva,-0.022087061,0.021947135
LOXL1_Aviva,0.068347925,0.021691253
CSRP1_Aviva,-0.017167047,0.023255548
MDH2_Aviva,0.039740526,0.024237019
TCF7_Aviva,0.014312987,0.013136154
PDLIM5_Aviva,0.011216359,0.033273917
LEF1_Aviva,0.037285726,0.01832744
GAPDH_Aviva,0.043920463,0.031488112
NCOR2_Aviva,0.005309493,0.037169757
KLK10_Aviva,0.027254463,0.032028667
PTK2B_Aviva,0.021980848,0.034192119
EEA1_Aviva,-0.018195585,0.032395855
PPARA_Aviva,-0.019947929,0.03046221
C1GALT1_Aviva,0.059748733,0.038807952
TIMP1_Abnova,0.050763462,0.040284188
GAL3ST3_Aviva,-0.004079653,0.014827972
TIMP2_Abnova,-0.020923308,0.023238758
PHLDA2_Abnova,0.064874494,0.073506838
PYGO2_Aviva,0.080571144,0.054602287
ABCB1_Aviva,0.118354106,0.172712597
VCP_Abnova,0.012560341,0.043358139
PPIA_Aviva,-0.009900992,0.062756107
ST13_Abnova,0.005460921,0.097620851
DLL4_Aviva,-0.00680819,0.081737341
TFF3_Abnova,-0.084213655,0.05342123
CDH5_LSBio,0.004899275,0.023466918
RARG_Aviva,0.041798152,0.079768645
COL18A1_LSBio,0.126373563,0.069967539
CTGF_LSBio,0.048776832,0.12871026
TANK_Aviva,-0.107415035,0.029318397
MECP2_Aviva,-0.042063623,0.125324504
HLA-A/HLA-B/HLA-C_LSBio,0.025929858,0.025003448
XBP1_Aviva,0.0282591,0.0699405
SCP2_Aviva,0.053869537,0.046408587
SERPINB5_LSBio,0.017782275,0.040929347
MEF2A_Aviva,0.04886677,0.02949794
THBS1_LSBio,0.048403329,0.04076731
NOTCH1_Aviva,0.001711197,0.109844972
THBS1_LSBio,0.055100577,0.07753934
MTA2_Aviva,0.041925663,0.023548868
MCM2_Aviva,-0.036040199,0.04536642
BCL3_LSBio,0.034700254,0.040140846
WT1_Aviva,-0.008149261,0.084505236
VWF_Abnova,0.073884671,0.079253997
MAPKAPK3_Abnova,-0.086219044,0.261557244
CNN2_Aviva,0.014227429,0.034752683
FZD3_Abnova,0.066149554,0.02837202
CTTN_Aviva,0.061673024,0.062934248
EIF3A_Abnova,0.052557842,0.071711789
FSTL1_Aviva,0.089149634,0.048307967
SNX3_Abnova,0.018057495,0.026814303
CRADD_Abnova,0.049558452,0.029591779
TNFSF9_Abnova,0.015322897,0.028728777
LRG1_Aviva,0.079367915,0.022296384
ZIC3_Abnova,-0.008659011,0.020595733
CSNK1A1_Aviva,0.052861748,0.039102453
PXDN_Abnova,0.054278365,0.046620382
CPN1_Aviva,0.014461783,0.05584463
FZD5_Abnova,0.046795633,0.053520524
MAPKAPK3_Abnova,0.094975728,0.039711125
METTL3_Aviva,0.050941745,0.065274011
DGCR6_ProSci,0.045833297,0.030411945
KHDRBS3_Aviva,-0.023516203,0.033054401
NDUFA10_ProSci,0.049378532,0.013615194
EIF4H_Aviva,0.086525334,0.186201821
Empty well_Empty,0.182592804,0.142881241
WNT10B_Aviva,0.01746515,0.055444136
ERBB2_R&D,0.068986701,0.056267851
FZD6_Aviva,0.110189719,0.047200223
THBS4_R&D,0.000739884,0.052257239
FZD7_Aviva,-0.010320224,0.042131145
AZGP1_MyBio,-0.027896888,0.045899545
TLR2_R&D,0.015766125,0.024299947
FZD10_Aviva,0.019768243,0.037395695
PRDX6_R&D,-0.013025912,0.014897752
FZD4_Aviva,0.154570236,0.121684714
SPRED1_R&D,-0.004599607,0.022454289
RXRB_Aviva,-0.031170801,0.024801942
COMP_MyBio,-0.030882921,0.058286938
NFATC1_Aviva,0.05326609,0.024555761
COMP_MyBio,-0.071056694,0.03983771
ACTB_Aviva,0.038189197,0.028749501
UBC_Novus,0.021557768,0.096253357
RARA_Aviva,0.034149528,0.062698974
DCD_Santa,-0.018765253,0.015866305
SIN3A_Santa,0.033626262,0.022529697
SFRS3_Abcam,-0.007806664,0.023234126
SIN3A_Abcam,0.031711961,0.034071184
PTPRM_Santa,-0.036088314,0.048222705
SSB_Sigma,0.066309797,0.054546015
PTPRM_Santa,0.063111468,0.052750617
EIF5A_PTG,-0.025222967,0.03080732
GPANK1 (BAT4)_Santa,-0.009756635,0.056485789
SLIRP_Abcam,0.061515477,0.067796423
G3BP1_Abnova,-0.014373878,0.074351071
DCD_Santa,0.002026041,0.111716617
HIST1H1D_Abcam,-0.055320069,0.14677283
DCD_Santa,0.065532789,0.127723705
CSRP1_Abcam,0.000754234,0.075281382
DCD_Santa,0.00259845,0.117641412
TP73_Santa,0.069516156,0.09668435
TLR2_Abcam,-0.005247336,0.070159452
Cdkn2a_Santa,0.02698993,0.095249823
GPANK1(BAT4)_Abnova,-0.030663052,0.130102281
Cdkn2a_Santa,0.028774042,0.104355548
GPANK1(BAT4)_Abcam,-0.015009338,0.090412289
NRN1_Santa,-0.078830783,0.073538594
PRG2_Abcam,0.013653715,0.039912988
PRG2_Abnova,0.014253948,0.07204255
CLDN18_Santa,0.092225774,0.101080009
PPP2CA_CSignal,0.129215001,0.095951873
MKI67_ABcam,0.009848738,0.046835229
TSG101_Santa,0.082553885,0.064703507
PDIA3_Santa,0.049544934,0.094238215
SKP2_Santa,0.037970459,0.03341881
TP63_Santa,-0.025019043,0.154213414
USF1_Santa,0.003631371,0.064175908
CAPN3 (NCL1)_Sigma,-0.050240586,0.141671344
Hif3a_Santa,0.011753091,0.012285941
CD59_Abcam,-0.06766792,0.136965156
HIF3A_Santa,-0.011233569,0.032830343
SRSF1 (SF2)_Abcam,-0.026004267,0.033822141
HIF1A_Santa,0.036127721,0.054734635
TPI1_Abcam,-0.00188639,0.040135291
HIF1A_Santa,-0.012928527,0.20109136
RALY_Abcam,-0.052667746,0.15295988
HIF1A_Santa,-0.006279833,0.094310545
CD44_Abcam,-0.047931109,0.03171366
HSPB1_PTG,0.069367415,0.083333575
TTR_Dako,0.086197393,0.255108686
PDIA3 (ERp57)_Enzo,0.015310243,0.118947774
MYC_Santa,-0.004996014,0.032839742
ILK_Sigma,-0.083191899,0.072023216
USF1_Santa,0.038962112,0.125551736
CSRP1_Abcam,0.031875077,0.015665884
MAP3K3_Santa,-0.026087779,0.018654001
HNRPA2B1_Abnova,0.034992501,0.099552046
MAP3K3_Santa,-0.026177166,0.025770203
CSRP1_PTG,-0.035142773,0.021250645
MAP3K3_Santa,0.014799204,0.073151152
CRB3 _Santa,0.000644245,0.011856495
IGFBP2_R&D,0.021792094,0.046804516
CRP1 _Santa,0.017229694,0.049967806
S100A11_Epitomics,0.007093944,0.031768865
ARP _Santa,-0.045078131,0.083470186
TAGLN2 _Santa,0.075230031,0.048238052
LY6D_Abnova,-0.013579135,0.018763146
HIST1H1E_Upstate,0.00305793,0.029979362
TAGLN2_Santa,-0.021028456,0.012413994
ALDH1A3_Abgent,-0.124480323,0.088527778
FETUB _Santa,0.005324256,0.057102158
P4C8_Lampe_LampeLab,0.139733796,0.270184478
CA2_Abcam,-0.044573583,0.05271289
CRB3 _Santa,-0.0429799,0.05099852
S100A11_Abnova,0.016638978,0.02369339
CRB3 _Santa,0.017867782,0.024615302
A1BG_Hanash_Inhouse,-0.005142091,0.0382602
MYC_Santa,-0.031064991,0.086194592
ILK_Abcam,0.053635257,0.038925617
Cy3 (not a gene)_Santa,-0.078131542,0.08620951
HNRPAB_Genway,-0.02279654,0.057142663
MAPK7_Santa,0.034430702,0.027925302
ILK_PIERCE,-0.001816258,0.126246406
GAR1 (NOLA1)_PTG,0.082190682,0.149536907
TXN _Abgent,0.046481564,0.021907899
ANXA5_Santa,-0.018607053,0.01789098
F7_Sigma,-0.109310307,0.075060932
P4D1_Lampe_Lampe lab,0.013316326,0.03766888
MED12_Santa,-0.026901502,0.035745983
ILK_Sigma,0.012083139,0.109812868
MED12_Santa,0.046753942,0.072360326
PRKCSH _Santa,-0.057414696,0.077417747
VCL_Sigma,-0.135470541,0.080268856
PRKCSH  _Santa,0.021059456,0.024608436
CTSD_CalBio,0.040407961,0.073049363
PARP1_Sigma,0.057965348,0.117593016
GJA1 (ser255)_Santa,0.019489495,0.096253603
RANBP1_ABcam,-0.020252918,0.15310753
Cx43NT1_LampeLab,-0.040368938,0.116980122
PDLIM1_ABnova,-0.012569899,0.080509297
ORM1_Abnova,0.032312647,0.064142324
GJA1(pS373)_LampeLab,0.047359933,0.024571647
CTSD_R&D,-0.075019214,0.023360336
GJA1 (ser262)_Santa,-0.017734176,0.062342004
ZYX_Sigma,-0.025721266,0.081585641
AHNAK_Abcam,-0.044865541,0.085517801
ATF3_Santa,0.005619204,0.067969919
Empty_Empty,0.00276038,0.067785142
Empty_Empty,0.05220647,0.02479525
RPLP2_Abgent,-0.092926911,0.269328082
Empty_Empty,0.01822767,0.064036486
ILK_Abgent,0.069382703,0.04762735
PTPN14_R&D,0.032165902,0.028032281
IGFBP1_Abcam,-0.078771113,0.093125117
RET_R&D,0.031859193,0.156006176
IL18RAP_Abcam,0.011037368,0.014847801
STX7_R&D,-0.020638127,0.011441287
GLI2_R&D,0.025074499,0.103947633
IRF9_Abcam,0.043082671,0.028970335
RTN4RL2_R&D,0.02461525,0.060459068
ITGA1_Abcam,-0.051566195,0.023600594
STAT5A_R&D,-0.029988194,0.063602155
ITGA5 _Abcam,0.049429277,0.085071981
SFRP1_R&D,0.072121611,0.045797119
ITGB3_Abcam,-0.004836178,0.048954232
JAK3_R&D,-0.048990752,0.093050045
ICAM2_Abcam,0.001904851,0.033134202
RELB_R&D,-0.034219619,0.067240851
IFNGR1_Abcam,0.061037218,0.035900021
ROBO4_R&D,0.004510301,0.070227951
MMP-7_R&D,0.042168506,0.087943711
BMP7_AbD,-0.006280847,0.029469062
COL4A3_Santa,-0.014417584,0.154300383
PLAUR_AbD,0.111383361,0.134150736
COL5A1_Santa,0.04917685,0.126764751
MUC17_AbD,0.083704408,0.071947909
COL5A3_Santa,-0.047506131,0.106315431
KSR1_AbD,-0.052858541,0.054063125
KRT7_AbD,-0.004921076,0.048829992
LAMB1_Santa,-0.054206791,0.045128141
LILRB3_AbD,0.091510785,0.126553257
CDKN2B_Santa,0.000672584,0.066935619
GP1BA_AbD,-0.017235117,0.058465931
CDKN2B_Santa,-0.069177853,0.107865755
LRP1_AbD,-0.005330614,0.063066316
MMP-7_R&D,-0.011236087,0.084614856
DNAL4_USBio,-0.005383506,0.069991028
SPARC/Osteonectin_R&D,0.058446116,0.025682441
RASSF5_USBio,0.057781036,0.034539701
SPARC/Osteonectin_R&D,-0.028289,0.043386645
CYCS_AbD,0.14548621,0.080927716
SPP1/Osteopontin_R&D,-0.009159029,0.194963425
KRT10_Abcam,0.065596825,0.057156354
PTP4A3_R&D,-0.002327005,0.104675632
KRT14_Abcam,-0.009935506,0.085497323
TIAM1_R&D,0.110935243,0.169247074
L1CAM_Abcam,-0.047806204,0.125387902
ADAM23_R&D,-0.03112713,0.01772837
LEPR_Abcam,-0.052222291,0.214879162
STAT4_R&D,-0.029958076,0.026409743
LGALS7_Abcam,-0.1031298,0.244827386
PPP2CA_R&D,0.065470438,0.221747766
ITGB8_Abcam,0.026682032,0.059015559
REG3A_R&D,-0.00779093,0.042601441
THBS4_R&D,-0.035545287,0.090517483
LTBP1_Abcam,0.020730299,0.029059682
STAT1_R&D,0.017968853,0.050936882
ITSN_Abcam,0.031633668,0.02881447
SFRP4_R&D,0.056010273,0.016712587
KIT_Abcam,-0.004488415,0.056808517
SIGLEC5_R&D,0.106988979,0.362858949
PTK2B(Y402)_R&D,-0.00554924,0.019580422
PTK2_Santa,-0.063809136,0.058319504
CD24_AbD,0.124250938,0.070842086
MAPK3 (Y204)_Santa,-0.034765189,0.046558011
LYZ_AbD,-0.058115414,0.080042509
AKT1/2/3 (S473)_Santa,-0.008874845,0.051009398
IFNG_AbD,0.026459082,0.025084464
AKT1/2/3 (T308)_Santa,0.070386262,0.04836782
CEACAM1/3/6_AbD,-0.003182111,0.071472615
ESR1 (S104/106)_Santa,0.006786086,0.066207641
ITGA3_AbD,0.139745423,0.172550427
TRPS1_Santa,-0.034710005,0.050786746
ICAM2_AbD,0.035116898,0.133356807
TNFRSF1B _AbD,0.05477085,0.062241851
ESR1_Santa,-0.060343347,0.066587896
CDC25A_AbD,0.071353493,0.049518421
SMAD4_Santa,0.033553248,0.021478808
HLADR_AbD,-0.002381842,0.031223709
Cdkn2a_Santa,0.013486323,0.078852791
CD28_AbD,0.06131431,0.118866723
MET_Santa,0.001248115,0.093900842
FASLG_AbD,-0.117244973,0.106477603
ANXA2_Santa,0.005543353,0.039228466
ALCAM_AbD,0.014556479,0.482188215
VIM_Santa,0.062611923,0.116848164
STAT1(Y701)_R&D,-0.051176191,0.095326337
MASP1_Abcam,0.077223341,0.104149065
HSPG2_R&D,-0.024135204,0.174827017
MKNK1_Abcam,0.19251445,0.248190348
CDK1(Y15)_R&D,-0.040519748,0.038273582
CAT_R&D,-0.02797686,0.058239983
MMP9_Abcam,0.055696814,0.036967421
ARMET_R&D,-0.031410787,0.040266079
MMRN1_Abcam,0.037419665,0.051159795
CDCP1_R&D,0.098577128,0.139328713
MST1_Abcam,-0.037352625,0.110117249
CHUK_R&D,0.081187958,0.05917833
MUC16 (CA125)_Abcam,0.075818324,0.148428565
IFNG_R&D,-0.020574129,0.135490417
MAP2K1_Abcam,0.024378548,0.046369632
FETUB_R&D,-0.031520018,0.032956627
MAPRE2_Abcam,0.080043567,0.078413114
CTSS_R&D,0.004475238,0.049347044
COL1A1_Santa,-0.02214961,0.043350438
S100A7/Psoriasin_Polyak,-0.029403711,0.029297174
ARFIP2_Abcam,0.00309118,0.045966567
S100A7/Psoriasin_Polyak,-0.019717399,0.104140485
ARHGDIB_Abcam,0.011857299,0.047068654
S100A7/Psoriasin_Polyak,0.014021837,0.147941524
ATF2_Abcam,0.022743491,0.059441726
LTF_Novus,-0.019592701,0.123419694
BCAR1_Abcam,0.067755301,0.140433595
_,0.079342605,0.073897464
TCF3_AvivaUV,0.149627925,0.169770628
BTD_Abcam,0.099389545,0.11344827
IRF5_AvivaUV,-0.002092339,0.047013318
C4B_Abcam,-0.003775517,0.106105803
APOBEC1_AvivaUV,0.066690773,0.116656725
COL1A1_Santa,0.081013373,0.058779838
PPIA_AbD,0.004633522,0.065116834
CTGF_Antigenix,0.008285717,0.170013182
ANG_Abcam,0.040165643,0.057502438
S100A7/Psoriasin_Polyak,0.218557439,0.157185641
APAF1_Abcam,0.015843304,0.038995953
A2M_R&D,0.222828619,0.2851212
NID1_Abcam,0.018501352,0.078912883
IFNAR1_R&D,0.088760545,0.147400832
NME2_Abcam,-0.0041627,0.079947004
FOLR3_R&D,0.02293796,0.041019808
NPC2_Abcam,0.011381641,0.094643891
FBLN5_R&D,-0.049792678,0.039016574
NTRK1-3_Abcam,0.007661055,0.034338721
CTNNB1_R&D,0.039116132,0.049001739
ORM1_Abcam,0.01139393,0.050897948
WNT7B_R&D,0.027299489,0.075448786
MUC2 (SMUC)_Abcam,0.013288747,0.046264826
PDLIM1_Abcam,-0.065318109,0.082512385
CRK_R&D,0.012576084,0.019963591
BMP4_R&D,0.001372523,0.209104832
PIK3CB_Abcam,0.059175998,0.133082361
CD24_R&D,0.083318072,0.06386132
MUC4_Abcam,-0.014471346,0.033227035
CTSD_R&D,-0.062601474,0.040441236
MYL6B_Abcam,-0.028306614,0.157083251
A2M_R&D,0.071996339,0.129080429
CREB1_R&D,0.054839313,0.159587517
C4B_Abcam,0.047154567,0.049923956
WNT9A_AvivaUV,-0.051883579,0.05423914
CAST_Abcam,-0.074725878,0.091743898
HOXC10_AvivaUV,0.047921759,0.070905815
CCL14_Abcam,-0.07420753,0.040224455
MSH6_AvivaUV,0.025367114,0.123758954
CCL20_Abcam,0.065712117,0.058712474
IRF2_AvivaUV,0.020444007,0.037675573
CCL5_Abcam,0.008668583,0.051946167
RXRG_AvivaUV,-0.046508957,0.113661532
CCL5_Abcam,0.007886961,0.027052881
TLX2_AvivaUV,-0.026280778,0.037949686
SCNN1B_AvivaUV,0.040551391,0.133636815
CCNE2_Abcam,0.122423366,0.104460367
MUC1_AvivaUV,0.009598921,0.071919513
CD163_Abcam,0.053581726,0.040828872
WNT11_AvivaUV,0.018459518,0.042663771
C4B (also detect C4A)_Abcam,0.068921208,0.071087335
KCNN3_AvivaUV,0.073702183,0.107368967
C5_Abcam,0.108396739,0.047274584
CCND1_AvivaUV,-0.021685194,0.029493025
C6orf115_Abcam,0.002426996,0.038330839
PPARGC1A_AvivaUV,-0.04744762,0.067544553
CALR_Abcam,-0.033043883,0.031221234
HSPG2_R&D,0.053460257,0.070675934
PRL_Abcam,0.038459936,0.02254105
DLL3_R&D,0.023106004,0.034393234
PSAP_Abcam,0.028659657,0.017222517
DKK3_R&D,0.056102554,0.048129138
GRAP2_R&D,0.036642381,0.025715682
RBL2_Abcam,0.004597453,0.022418241
ENG_R&D,0.035576659,0.025400418
RETN_Abcam,0.016847065,0.047266367
BIRC2_R&D,-0.033886319,0.051403981
RPS6KSK1_Abcam,-0.000733151,0.024741716
GP5_R&D,-0.003785357,0.032117457
S100A4_Abcam,0.083544365,0.033158954
BID_R&D,0.017563928,0.014378059
PKC (alpha/beta/gamma)_Abcam,-0.02624982,0.040626659
ERBB4 _R&D,-0.018676902,0.125134466
PLCG1_Abcam,-0.015836138,0.031572288
FUT3_R&D,-0.023394656,0.084460051
CD19_Abcam,0.128992749,0.094054352
PPARGC1B_AvivaUV,0.014068639,0.051649003
CFL1_Abcam,0.016501217,0.08140519
CCNH_AvivaUV,0.031600716,0.115920255
CHMP1A_Abcam,0.038866028,0.367290034
IGF1_AvivaUV,-0.055361699,0.084536022
CHRDL1_Abcam,-0.002086892,0.034983524
FN1_AvivaUV,0.023244418,0.113671879
CIDEA_Abcam,-0.010372169,0.060967266
CLIC1_Abcam,0.080288923,0.109301369
HDAC11_AvivaUV,-0.036736194,0.069550064
AVP_AvivaUV,0.024281921,0.07294468
CLIC1_Abcam,0.072541196,0.090960887
KLK2_AvivaUV,0.059084171,0.026723578
COL24A1_Abcam,-0.06425791,0.099665887
CD19_Abcam,0.001044798,0.105725267
CD86_Abcam,-0.204291344,0.279692159
FZD1_AvivaUV,0.032599107,0.110039193
CDSN_Abcam,0.079102004,0.035813364
WNT10A_AvivaUV,0.006262057,0.031343762
CEACAM5_Abcam,-0.060957893,0.079509417
FKBP2_R&D,0.005036808,0.020030533
SHBG_Abcam,-0.074991655,0.038368738
INPP5D_R&D,0.142984707,0.22308039
SNX7_Abcam,0.040522121,0.303699028
MAP2K4 (S257/T261)_R&D,0.02482947,0.018154837
SOD1_Abcam,0.028075487,0.040662691
PCSK9_R&D,-0.025346613,0.038762742
NOTCH3_R&D,-0.069763277,0.046317383
SP1_Abcam,0.053292691,0.029155188
S100A7 _Abcam,0.043731545,0.06714955
STC2_Abcam,-0.000570896,0.023924023
MAPK3_R&D,-0.121036255,0.090937557
STIP1_Abcam,0.020342899,0.050620681
PIK3CB_R&D,0.061475866,0.140001548
SYNE2_Abcam,0.011250789,0.030013425
MUC16 (CA125)_Abcam,-0.001523223,0.084858934
S100A8_Abcam,0.019237043,0.032788968
ADAMTS13_R&D,0.032540487,0.030580577
S100A8_Abcam,0.039351241,0.101864568
DVL1_R&D,0.064312074,0.056851288
SAR1A_Abcam,0.034567559,0.094452438
COX6C_Abcam,0.042228617,0.037113734
CXCL10_Abcam,0.023455055,0.023536098
CXCL11_Abcam,0.105673564,0.093477067
DNAL4_Abcam,0.02892563,0.062409755
